nbClient 	 %CallHimself 	 %CallNeighbourhood 	 %CallExt 
"100 entries"      4.923636806602409       7.345484445662601       87.73087874773499 #cacheSize 100
"1000 entries"      11.228697958303197      18.05474133008489       70.71656071161192 #cacheSize 1000
"10000 entries"	59.12512380323539	27.78169997714402	13.09317621962059 #cacheSize 10000
