#nbClient 	 %CallHimself 	 %CallNginx 	 %CallLDFServer 
"k = 5"	48.05339314389443	27.16424195350136	24.782364902604204
"k = 5"	48.05339314389443	27.16424195350136	24.782364902604204
"k = 10" 48.04095685261468	29.732663373594917	22.226379773790406
"k = 30" 47.924832519338956	29.11518065875181	22.95998682190923
